Dataset,Model,Predict Function of Model,Metric Function,Mean,Std,N
yeast,BR_LogisticRegression,Predict Subset,Negative Predictive Value,0.8332172,0.0005308367922441315,5
yeast,BR_LogisticRegression,Predict Subset,Precision Score,0.6901364,0.0013498691788466058,5
yeast,BR_LogisticRegression,Predict Subset,Recall Score,0.588218,0.0009721944249994336,5
yeast,BR_LogisticRegression,Predict Subset,Subset Accuracy,0.139761,0.004604040562375631,5
yeast,BR_RandomForestClassifier,Marginal Scores,Average Precision,0.7690484,0.0012596421317183845,5
yeast,BR_RandomForestClassifier,Marginal Scores,Coverage Score,0.5271218,0.0008723437969057926,5
yeast,BR_RandomForestClassifier,Marginal Scores,One-Error Score,0.7717762,0.001965911925799308,5
yeast,BR_RandomForestClassifier,Marginal Scores,Ranking Loss Score,0.8416362,0.0007156868728710815,5
yeast,BR_RandomForestClassifier,Predict Fmeasure,Fmeasure Score,0.6665916000000001,0.0009938170354748474,5
yeast,BR_RandomForestClassifier,Predict Fmeasure,Hamming Accuracy,0.7621804,0.0010808139525376036,5
yeast,BR_RandomForestClassifier,Predict Fmeasure,Informedness,0.6073556,0.0018364409328916838,5
yeast,BR_RandomForestClassifier,Predict Fmeasure,Macro F1,0.4737154,0.004966695209090233,5
yeast,BR_RandomForestClassifier,Predict Fmeasure,Markedness,0.749273,0.0008385398022753583,5
yeast,BR_RandomForestClassifier,Predict Fmeasure,Micro F1,0.6719518,0.0011628246643411453,5
yeast,BR_RandomForestClassifier,Predict Fmeasure,Negative Predictive Value,0.8954826,0.0005893549864045921,5
yeast,BR_RandomForestClassifier,Predict Fmeasure,Precision Score,0.6030637999999999,0.0012491936199004287,5
yeast,BR_RandomForestClassifier,Predict Fmeasure,Recall Score,0.813881,0.0010526580641404795,5
yeast,BR_RandomForestClassifier,Predict Fmeasure,Subset Accuracy,0.12395180000000001,0.0028056156543618004,5
yeast,BR_RandomForestClassifier,Predict Hamming,Fmeasure Score,0.6152637999999999,0.0009948000804181746,5
yeast,BR_RandomForestClassifier,Predict Hamming,Hamming Accuracy,0.811166,0.00038507272040486524,5
yeast,BR_RandomForestClassifier,Predict Hamming,Informedness,0.5781280000000001,0.001834705970993716,5
yeast,BR_RandomForestClassifier,Predict Hamming,Macro F1,0.37037580000000003,0.004130992217373444,5
yeast,BR_RandomForestClassifier,Predict Hamming,Markedness,0.7875292,0.00043463628472550214,5
yeast,BR_RandomForestClassifier,Predict Hamming,Micro F1,0.6448666000000001,0.0008849984745749703,5
yeast,BR_RandomForestClassifier,Predict Hamming,Negative Predictive Value,0.8341912,0.0003141093758549558,5
yeast,BR_RandomForestClassifier,Predict Hamming,Precision Score,0.7408686,0.0007834930120939064,5
yeast,BR_RandomForestClassifier,Predict Hamming,Recall Score,0.5717802000000001,0.0013594525368691383,5
yeast,BR_RandomForestClassifier,Predict Hamming,Subset Accuracy,0.1712866,0.0029324539723583074,5
yeast,BR_RandomForestClassifier,Predict Informedness,Fmeasure Score,0.6691574,0.0007747027171761118,5
yeast,BR_RandomForestClassifier,Predict Informedness,Hamming Accuracy,0.7816624,0.0007686763298033654,5
yeast,BR_RandomForestClassifier,Predict Informedness,Informedness,0.6028738,0.0020425170011532144,5
yeast,BR_RandomForestClassifier,Predict Informedness,Macro F1,0.45711219999999997,0.004590756985509036,5
yeast,BR_RandomForestClassifier,Predict Informedness,Markedness,0.7550802,0.0006486911437656728,5
yeast,BR_RandomForestClassifier,Predict Informedness,Micro F1,0.6789080000000001,0.0007915165822646717,5
yeast,BR_RandomForestClassifier,Predict Informedness,Negative Predictive Value,0.8834574,0.00044311375514645234,5
yeast,BR_RandomForestClassifier,Predict Informedness,Precision Score,0.6267026,0.001360111502782041,5
yeast,BR_RandomForestClassifier,Predict Informedness,Recall Score,0.7748258,0.0017318834256380947,5
yeast,BR_RandomForestClassifier,Predict Informedness,Subset Accuracy,0.1273462,0.0030207880097749325,5
yeast,BR_RandomForestClassifier,Predict Markedness,Fmeasure Score,0.5278144,0.0016838200022567197,5
yeast,BR_RandomForestClassifier,Predict Markedness,Hamming Accuracy,0.790586,0.0005010099799405042,5
yeast,BR_RandomForestClassifier,Predict Markedness,Informedness,0.5553872,0.0017836002074455917,5
yeast,BR_RandomForestClassifier,Predict Markedness,Macro F1,0.3056336,0.00430996819013781,5
yeast,BR_RandomForestClassifier,Predict Markedness,Markedness,0.7835911999999999,0.0007400035135051379,5
yeast,BR_RandomForestClassifier,Predict Markedness,Micro F1,0.568249,0.0012954352550398041,5
yeast,BR_RandomForestClassifier,Predict Markedness,Negative Predictive Value,0.8059024000000001,0.0005626662421009484,5
yeast,BR_RandomForestClassifier,Predict Markedness,Precision Score,0.7612778,0.0011807816055478032,5
yeast,BR_RandomForestClassifier,Predict Markedness,Recall Score,0.45670400000000005,0.0011531001691093305,5
yeast,BR_RandomForestClassifier,Predict Markedness,Subset Accuracy,0.11833160000000001,0.0031138231003061184,5
yeast,BR_RandomForestClassifier,Predict NPV,Fmeasure Score,0.47739339999999997,0.00012304186279473591,5
yeast,BR_RandomForestClassifier,Predict NPV,Hamming Accuracy,0.3717078,0.0001635304253036703,5
yeast,BR_RandomForestClassifier,Predict NPV,Informedness,0.506218,0.0019325753542876378,5
yeast,BR_RandomForestClassifier,Predict NPV,Macro F1,0.426464,0.0007882953126842686,5
yeast,BR_RandomForestClassifier,Predict NPV,Markedness,0.6540514,0.0006103485070023234,5
yeast,BR_RandomForestClassifier,Predict NPV,Micro F1,0.48963619999999997,0.00016903461184028767,5
yeast,BR_RandomForestClassifier,Predict NPV,Negative Predictive Value,0.9834502,0.0011330684886625112,5
yeast,BR_RandomForestClassifier,Predict NPV,Precision Score,0.3246506,9.00683074116649e-05,5
yeast,BR_RandomForestClassifier,Predict NPV,Recall Score,0.9965252,0.00018592121987548614,5
yeast,BR_RandomForestClassifier,Predict NPV,Subset Accuracy,0.0,0.0,5
yeast,BR_RandomForestClassifier,Predict Precision,Fmeasure Score,0.2880318,0.001481923648505558,5
yeast,BR_RandomForestClassifier,Predict Precision,Hamming Accuracy,0.736181,0.00028378072520871195,5
yeast,BR_RandomForestClassifier,Predict Precision,Informedness,0.5133061999999999,0.0021802430369112524,5
yeast,BR_RandomForestClassifier,Predict Precision,Macro F1,0.12299099999999999,0.004077807437827341,5
yeast,BR_RandomForestClassifier,Predict Precision,Markedness,0.7526096,0.00105897700636036,5
yeast,BR_RandomForestClassifier,Predict Precision,Micro F1,0.294705,0.0007436561705519568,5
yeast,BR_RandomForestClassifier,Predict Precision,Negative Predictive Value,0.7334428,0.0001545920437797638,5
yeast,BR_RandomForestClassifier,Predict Precision,Precision Score,0.7717762,0.001965911925799308,5
yeast,BR_RandomForestClassifier,Predict Precision,Recall Score,0.1811488,0.0010950651578787456,5
yeast,BR_RandomForestClassifier,Predict Precision,Subset Accuracy,0.0030600000000000002,0.0005552931658142392,5
yeast,BR_RandomForestClassifier,Predict Recall,Fmeasure Score,0.4534026,5.770615218484809e-06,5
yeast,BR_RandomForestClassifier,Predict Recall,Hamming Accuracy,0.302644,3.5355339059264604e-06,5
yeast,BR_RandomForestClassifier,Predict Recall,Informedness,0.5,0.0,5
yeast,BR_RandomForestClassifier,Predict Recall,Macro F1,0.42453620000000003,5.727739519218102e-05,5
yeast,BR_RandomForestClassifier,Predict Recall,Markedness,0.1513218,2.280350850196905e-06,5
yeast,BR_RandomForestClassifier,Predict Recall,Micro F1,0.4646038,4.974133090297654e-05,5
yeast,BR_RandomForestClassifier,Predict Recall,Negative Predictive Value,0.0,0.0,5
yeast,BR_RandomForestClassifier,Predict Recall,Precision Score,0.302644,3.5355339059264604e-06,5
yeast,BR_RandomForestClassifier,Predict Recall,Recall Score,1.0,0.0,5
yeast,BR_RandomForestClassifier,Predict Recall,Subset Accuracy,0.0,0.0,5
yeast,BR_RandomForestClassifier,Predict Subset,Fmeasure Score,0.613356,0.000994856522318678,5
yeast,BR_RandomForestClassifier,Predict Subset,Hamming Accuracy,0.8109764,0.0004478730847014749,5
yeast,BR_RandomForestClassifier,Predict Subset,Informedness,0.577371,0.0017951062642640448,5
yeast,BR_RandomForestClassifier,Predict Subset,Macro F1,0.3682006,0.004063859901620635,5
yeast,BR_RandomForestClassifier,Predict Subset,Markedness,0.7879609999999999,0.0005347504090694884,5
yeast,BR_RandomForestClassifier,Predict Subset,Micro F1,0.6431452,0.0010161263208873414,5
yeast,BR_RandomForestClassifier,Predict Subset,Negative Predictive Value,0.8332560000000001,0.00040728061579208046,5
yeast,BR_RandomForestClassifier,Predict Subset,Precision Score,0.7426654,0.0008379718372355928,5
yeast,BR_RandomForestClassifier,Predict Subset,Recall Score,0.5681032,0.0014479791780270827,5
yeast,BR_RandomForestClassifier,Predict Subset,Subset Accuracy,0.16888799999999998,0.0028357864870261294,5
yeast,PCC_AdaBoostClassifier,Marginal Scores,Average Precision,0.6574474,0.0035993189355765735,5
