Dataset,Model,Predict Function of Model,Metric Function,Score,Seed,Estimator Tag
flags,PCC_LogisticRegression,Predict Fmeasure,Negative Predictive Value,0.779065,1,lr
flags,PCC_LogisticRegression,Predict Fmeasure,Recall Score,0.830939,1,lr
flags,PCC_LogisticRegression,Predict Fmeasure,Markedness,0.707232,1,lr
flags,PCC_LogisticRegression,Predict Fmeasure,Fmeasure Score,0.711321,1,lr
flags,PCC_LogisticRegression,Predict Fmeasure,Informedness,0.607888,1,lr
flags,PCC_LogisticRegression,Predict Fmeasure,Macro F1,0.64475,1,lr
flags,PCC_LogisticRegression,Predict Fmeasure,Micro F1,0.734241,1,lr
flags,PCC_LogisticRegression,Predict Informedness,Hamming Accuracy,0.715526,1,lr
flags,PCC_LogisticRegression,Predict Informedness,Subset Accuracy,0.128156,1,lr
flags,PCC_LogisticRegression,Predict Informedness,Precision Score,0.681446,1,lr
flags,PCC_LogisticRegression,Predict Informedness,Negative Predictive Value,0.718618,1,lr
flags,PCC_LogisticRegression,Predict Informedness,Recall Score,0.74258,1,lr
flags,PCC_LogisticRegression,Predict Informedness,Markedness,0.700032,1,lr
flags,PCC_LogisticRegression,Predict Informedness,Fmeasure Score,0.699895,1,lr
flags,PCC_LogisticRegression,Predict Informedness,Informedness,0.604612,1,lr
flags,PCC_LogisticRegression,Predict Informedness,Macro F1,0.60719,1,lr
flags,PCC_LogisticRegression,Predict Informedness,Micro F1,0.716884,1,lr
flags,PCC_LogisticRegression,Marginal Scores,One-Error Score,0.731579,1,lr
flags,PCC_LogisticRegression,Marginal Scores,Coverage Score,0.366491,1,lr
flags,PCC_LogisticRegression,Marginal Scores,Ranking Loss Score,0.775566,1,lr
flags,PCC_LogisticRegression,Marginal Scores,Average Precision,0.799305,1,lr
flags,BR_LogisticRegression,Predict Hamming,Hamming Accuracy,0.729774,1,lr
flags,BR_LogisticRegression,Predict Hamming,Subset Accuracy,0.133683,1,lr
flags,BR_LogisticRegression,Predict Hamming,Precision Score,0.686233,1,lr
flags,BR_LogisticRegression,Predict Hamming,Negative Predictive Value,0.707627,1,lr
flags,BR_LogisticRegression,Predict Hamming,Recall Score,0.671772,1,lr
flags,BR_LogisticRegression,Predict Hamming,Markedness,0.69693,1,lr
flags,BR_LogisticRegression,Predict Hamming,Fmeasure Score,0.666843,1,lr
flags,BR_LogisticRegression,Predict Hamming,Informedness,0.640097,1,lr
flags,BR_LogisticRegression,Predict Hamming,Macro F1,0.638081,1,lr
flags,BR_LogisticRegression,Predict Hamming,Micro F1,0.718849,1,lr
flags,BR_LogisticRegression,Predict Subset,Hamming Accuracy,0.729774,1,lr
flags,BR_LogisticRegression,Predict Subset,Subset Accuracy,0.133683,1,lr
flags,BR_LogisticRegression,Predict Subset,Precision Score,0.686233,1,lr
flags,BR_LogisticRegression,Predict Subset,Negative Predictive Value,0.707627,1,lr
flags,BR_LogisticRegression,Predict Subset,Recall Score,0.671772,1,lr
flags,BR_LogisticRegression,Predict Subset,Markedness,0.69693,1,lr
flags,BR_LogisticRegression,Predict Subset,Fmeasure Score,0.666843,1,lr
flags,BR_LogisticRegression,Predict Subset,Informedness,0.640097,1,lr
flags,BR_LogisticRegression,Predict Subset,Macro F1,0.638081,1,lr
flags,BR_LogisticRegression,Predict Subset,Micro F1,0.718849,1,lr
flags,BR_LogisticRegression,Predict Precision,Hamming Accuracy,0.582818,1,lr
flags,BR_LogisticRegression,Predict Precision,Subset Accuracy,0.0,1,lr
flags,BR_LogisticRegression,Predict Precision,Precision Score,0.736315,1,lr
flags,BR_LogisticRegression,Predict Precision,Negative Predictive Value,0.557238,1,lr
flags,BR_LogisticRegression,Predict Precision,Recall Score,0.23057,1,lr
flags,BR_LogisticRegression,Predict Precision,Markedness,0.646775,1,lr
flags,BR_LogisticRegression,Predict Precision,Fmeasure Score,0.344068,1,lr
flags,BR_LogisticRegression,Predict Precision,Informedness,0.507585,1,lr
flags,BR_LogisticRegression,Predict Precision,Macro F1,0.213774,1,lr
flags,BR_LogisticRegression,Predict Precision,Micro F1,0.337194,1,lr
flags,BR_LogisticRegression,Predict NPV,Hamming Accuracy,0.599661,1,lr
flags,BR_LogisticRegression,Predict NPV,Subset Accuracy,0.036315,1,lr
flags,BR_LogisticRegression,Predict NPV,Precision Score,0.54921,1,lr
flags,BR_LogisticRegression,Predict NPV,Negative Predictive Value,0.90237,1,lr
flags,BR_LogisticRegression,Predict NPV,Recall Score,0.976257,1,lr
flags,BR_LogisticRegression,Predict NPV,Markedness,0.725791,1,lr
flags,BR_LogisticRegression,Predict NPV,Fmeasure Score,0.684821,1,lr
flags,BR_LogisticRegression,Predict NPV,Informedness,0.539417,1,lr
flags,BR_LogisticRegression,Predict NPV,Macro F1,0.6391,1,lr
flags,BR_LogisticRegression,Predict NPV,Micro F1,0.700819,1,lr
flags,BR_LogisticRegression,Predict Recall,Hamming Accuracy,0.4847,1,lr
flags,BR_LogisticRegression,Predict Recall,Subset Accuracy,0.01,1,lr
flags,BR_LogisticRegression,Predict Recall,Precision Score,0.4847,1,lr
flags,BR_LogisticRegression,Predict Recall,Negative Predictive Value,0.01,1,lr
flags,BR_LogisticRegression,Predict Recall,Recall Score,1.0,1,lr
flags,BR_LogisticRegression,Predict Recall,Markedness,0.247348,1,lr
flags,BR_LogisticRegression,Predict Recall,Fmeasure Score,0.636587,1,lr
flags,BR_LogisticRegression,Predict Recall,Informedness,0.5,1,lr
flags,BR_LogisticRegression,Predict Recall,Macro F1,0.613148,1,lr
flags,BR_LogisticRegression,Predict Recall,Micro F1,0.652092,1,lr
flags,BR_LogisticRegression,Predict Markedness,Hamming Accuracy,0.717144,1,lr
flags,BR_LogisticRegression,Predict Markedness,Subset Accuracy,0.09263,1,lr
flags,BR_LogisticRegression,Predict Markedness,Precision Score,0.691044,1,lr
flags,BR_LogisticRegression,Predict Markedness,Negative Predictive Value,0.786137,1,lr
flags,BR_LogisticRegression,Predict Markedness,Recall Score,0.72232,1,lr
flags,BR_LogisticRegression,Predict Markedness,Markedness,0.73859,1,lr
flags,BR_LogisticRegression,Predict Markedness,Fmeasure Score,0.672461,1,lr
flags,BR_LogisticRegression,Predict Markedness,Informedness,0.633262,1,lr
flags,BR_LogisticRegression,Predict Markedness,Macro F1,0.644255,1,lr
flags,BR_LogisticRegression,Predict Markedness,Micro F1,0.721142,1,lr
flags,BR_LogisticRegression,Predict Fmeasure,Hamming Accuracy,0.707031,1,lr
flags,BR_LogisticRegression,Predict Fmeasure,Subset Accuracy,0.087893,1,lr
flags,BR_LogisticRegression,Predict Fmeasure,Precision Score,0.638233,1,lr
flags,BR_LogisticRegression,Predict Fmeasure,Negative Predictive Value,0.779218,1,lr
flags,BR_LogisticRegression,Predict Fmeasure,Recall Score,0.828353,1,lr
flags,BR_LogisticRegression,Predict Fmeasure,Markedness,0.708725,1,lr
flags,BR_LogisticRegression,Predict Fmeasure,Fmeasure Score,0.712053,1,lr
flags,BR_LogisticRegression,Predict Fmeasure,Informedness,0.610432,1,lr
flags,BR_LogisticRegression,Predict Fmeasure,Macro F1,0.650205,1,lr
flags,BR_LogisticRegression,Predict Fmeasure,Micro F1,0.735153,1,lr
flags,BR_LogisticRegression,Predict Informedness,Hamming Accuracy,0.720676,1,lr
flags,BR_LogisticRegression,Predict Informedness,Subset Accuracy,0.148946,1,lr
flags,BR_LogisticRegression,Predict Informedness,Precision Score,0.687535,1,lr
flags,BR_LogisticRegression,Predict Informedness,Negative Predictive Value,0.720294,1,lr
flags,BR_LogisticRegression,Predict Informedness,Recall Score,0.738074,1,lr
flags,BR_LogisticRegression,Predict Informedness,Markedness,0.703914,1,lr
flags,BR_LogisticRegression,Predict Informedness,Fmeasure Score,0.7026,1,lr
