Dataset,Model,Predict Function of Model,Metric Function,Score,Seed,Estimator Tag
CHD_49,BR_AdaBoostClassifier,Predict Precision,Fmeasure Score,0.408326,1,adaboost
CHD_49,BR_AdaBoostClassifier,Predict Precision,Informedness,0.558746,1,adaboost
CHD_49,BR_AdaBoostClassifier,Predict Precision,Macro F1,0.315887,1,adaboost
CHD_49,BR_AdaBoostClassifier,Predict Precision,Micro F1,0.411665,1,adaboost
CHD_49,BR_AdaBoostClassifier,Predict NPV,Hamming Accuracy,0.583647,1,adaboost
CHD_49,BR_AdaBoostClassifier,Predict NPV,Subset Accuracy,0.0,1,adaboost
CHD_49,BR_AdaBoostClassifier,Predict NPV,Precision Score,0.508259,1,adaboost
CHD_49,BR_AdaBoostClassifier,Predict NPV,Negative Predictive Value,0.960583,1,adaboost
CHD_49,BR_AdaBoostClassifier,Predict NPV,Recall Score,0.977695,1,adaboost
CHD_49,BR_AdaBoostClassifier,Predict NPV,Markedness,0.734422,1,adaboost
CHD_49,BR_AdaBoostClassifier,Predict NPV,Fmeasure Score,0.648696,1,adaboost
CHD_49,BR_AdaBoostClassifier,Predict NPV,Informedness,0.539826,1,adaboost
CHD_49,BR_AdaBoostClassifier,Predict NPV,Macro F1,0.57835,1,adaboost
CHD_49,BR_AdaBoostClassifier,Predict NPV,Micro F1,0.670186,1,adaboost
CHD_49,BR_AdaBoostClassifier,Predict Recall,Hamming Accuracy,0.430118,1,adaboost
CHD_49,BR_AdaBoostClassifier,Predict Recall,Subset Accuracy,0.0,1,adaboost
CHD_49,BR_AdaBoostClassifier,Predict Recall,Precision Score,0.430118,1,adaboost
CHD_49,BR_AdaBoostClassifier,Predict Recall,Negative Predictive Value,0.0,1,adaboost
CHD_49,BR_AdaBoostClassifier,Predict Recall,Recall Score,0.99461,1,adaboost
CHD_49,BR_AdaBoostClassifier,Predict Recall,Markedness,0.215058,1,adaboost
CHD_49,BR_AdaBoostClassifier,Predict Recall,Fmeasure Score,0.58356,1,adaboost
CHD_49,BR_AdaBoostClassifier,Predict Recall,Informedness,0.5,1,adaboost
CHD_49,BR_AdaBoostClassifier,Predict Recall,Macro F1,0.558809,1,adaboost
CHD_49,BR_AdaBoostClassifier,Predict Recall,Micro F1,0.6013,1,adaboost
CHD_49,BR_AdaBoostClassifier,Predict Markedness,Hamming Accuracy,0.605228,1,adaboost
